"YEAR","MONTH","UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","DEP_DELAY","DEP_DELAY_NEW","ARR_DELAY","ARR_DELAY_NEW","CANCELLED",
2012,4,"AA",12478,12892,-4.00,0.00,-21.00,0.00,0.00,
2012,4,"AA",12478,12892,-7.00,0.00,-65.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,-63.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,5.00,5.00,0.00,
2012,4,"AA",12478,12892,-2.00,0.00,-39.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,-34.00,0.00,0.00,
2012,4,"AA",12478,12892,-8.00,0.00,-16.00,0.00,0.00,
2012,4,"AA",12478,12892,-7.00,0.00,-19.00,0.00,0.00,
2012,4,"AA",12478,12892,-9.00,0.00,-2.00,0.00,0.00,
2012,4,"AA",12478,12892,-5.00,0.00,-17.00,0.00,0.00,
2012,4,"AA",12478,12892,-10.00,0.00,-10.00,0.00,0.00,
2012,4,"AA",12478,12892,1.00,1.00,-4.00,0.00,0.00,
2012,4,"AA",12478,12892,0.00,0.00,-12.00,0.00,0.00,
2012,4,"AA",12478,12892,-7.00,0.00,40.00,40.00,0.00,
2012,4,"AA",12478,12892,-5.00,0.00,-43.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,-22.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,-13.00,0.00,0.00,
2012,4,"AA",12478,12892,-4.00,0.00,-21.00,0.00,0.00,
2012,4,"AA",12478,12892,-7.00,0.00,-44.00,0.00,0.00,
2012,4,"AA",12478,12892,-7.00,0.00,-50.00,0.00,0.00,
2012,4,"AA",12478,12892,-10.00,0.00,-26.00,0.00,0.00,
2012,4,"AA",12478,12892,-2.00,0.00,-43.00,0.00,0.00,
2012,4,"AA",12478,12892,-8.00,0.00,-10.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,-35.00,0.00,0.00,
2012,4,"AA",12478,12892,-2.00,0.00,-30.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,1.00,1.00,0.00,
2012,4,"AA",12478,12892,0.00,0.00,18.00,18.00,0.00,
2012,4,"AA",12478,12892,7.00,7.00,2.00,2.00,0.00,
2012,4,"AA",12478,12892,-4.00,0.00,-24.00,0.00,0.00,
2012,4,"AA",12478,12892,-10.00,0.00,-18.00,0.00,0.00,
2012,4,"AA",12892,12478,-3.00,0.00,-41.00,0.00,0.00,
2012,4,"AA",12892,12478,-2.00,0.00,-12.00,0.00,0.00,
2012,4,"AA",12892,12478,14.00,14.00,-4.00,0.00,0.00,
2012,4,"AA",12892,12478,1.00,1.00,-22.00,0.00,0.00,
2012,4,"AA",12892,12478,-9.00,0.00,-32.00,0.00,0.00,
2012,4,"AA",12892,12478,-5.00,0.00,-35.00,0.00,0.00,
2012,4,"AA",12892,12478,-3.00,0.00,-16.00,0.00,0.00,
2012,4,"AA",12892,12478,48.00,48.00,10.00,10.00,0.00,
2012,4,"AA",12892,12478,-5.00,0.00,-32.00,0.00,0.00,
2012,4,"AA",12892,12478,-9.00,0.00,-6.00,0.00,0.00,
2012,4,"AA",12892,12478,-8.00,0.00,-23.00,0.00,0.00,
2012,4,"AA",12892,12478,-8.00,0.00,-32.00,0.00,0.00,
2012,4,"AA",12892,12478,-1.00,0.00,-4.00,0.00,0.00,
2012,4,"AA",12892,12478,-3.00,0.00,4.00,4.00,0.00,
2012,4,"AA",12892,12478,-6.00,0.00,-18.00,0.00,0.00,
2012,4,"AA",12892,12478,42.00,42.00,31.00,31.00,0.00,
2012,4,"AA",12892,12478,-3.00,0.00,-31.00,0.00,0.00,
2012,4,"AA",12892,12478,-5.00,0.00,-24.00,0.00,0.00,
2012,4,"AA",12892,12478,-5.00,0.00,-25.00,0.00,0.00,
2012,4,"AA",12892,12478,-7.00,0.00,-19.00,0.00,0.00,
2012,4,"AA",12892,12478,-6.00,0.00,-24.00,0.00,0.00,
2012,4,"AA",12892,12478,4.00,4.00,2.00,2.00,0.00,
2012,4,"AA",12892,12478,-6.00,0.00,8.00,8.00,0.00,
2012,4,"AA",12892,12478,-8.00,0.00,-8.00,0.00,0.00,
2012,4,"AA",12892,12478,-5.00,0.00,-25.00,0.00,0.00,
2012,4,"AA",12892,12478,-2.00,0.00,-18.00,0.00,0.00,
2012,4,"AA",12892,12478,-2.00,0.00,-32.00,0.00,0.00,
2012,4,"AA",12892,12478,2.00,2.00,9.00,9.00,0.00,
2012,4,"AA",12892,12478,-8.00,0.00,-20.00,0.00,0.00,
2012,4,"AA",12892,12478,85.00,85.00,82.00,82.00,0.00,
2012,4,"AA",12478,12892,-7.00,0.00,-52.00,0.00,0.00,
2012,4,"AA",12478,12892,-8.00,0.00,-50.00,0.00,0.00,
2012,4,"AA",12478,12892,-9.00,0.00,-24.00,0.00,0.00,
2012,4,"AA",12478,12892,1.00,1.00,,,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,-5.00,0.00,0.00,
2012,4,"AA",12478,12892,-11.00,0.00,6.00,6.00,0.00,
2012,4,"AA",12478,12892,0.00,0.00,-14.00,0.00,0.00,
2012,4,"AA",12478,12892,-7.00,0.00,-12.00,0.00,0.00,
2012,4,"AA",12478,12892,-5.00,0.00,-2.00,0.00,0.00,
2012,4,"AA",12478,12892,-13.00,0.00,-26.00,0.00,0.00,
2012,4,"AA",12478,12892,-5.00,0.00,-16.00,0.00,0.00,
2012,4,"AA",12478,12892,-11.00,0.00,-9.00,0.00,0.00,
2012,4,"AA",12478,12892,-3.00,0.00,1.00,1.00,0.00,
2012,4,"AA",12478,12892,-8.00,0.00,-1.00,0.00,0.00,
2012,4,"AA",12478,12892,-8.00,0.00,3.00,3.00,0.00,
2012,4,"AA",12478,12892,-9.00,0.00,-18.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,,,0.00,
2012,4,"AA",12478,12892,-9.00,0.00,-22.00,0.00,0.00,
2012,4,"AA",12478,12892,-3.00,0.00,-24.00,0.00,0.00,
2012,4,"AA",12478,12892,-4.00,0.00,-24.00,0.00,0.00,
2012,4,"AA",12478,12892,-11.00,0.00,-25.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,-35.00,0.00,0.00,
2012,4,"AA",12478,12892,-12.00,0.00,-45.00,0.00,0.00,
2012,4,"AA",12478,12892,-11.00,0.00,-32.00,0.00,0.00,
2012,4,"AA",12478,12892,-5.00,0.00,-15.00,0.00,0.00,
2012,4,"AA",12478,12892,-7.00,0.00,-2.00,0.00,0.00,
2012,4,"AA",12478,12892,-4.00,0.00,6.00,6.00,0.00,
2012,4,"AA",12478,12892,-8.00,0.00,-14.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,-10.00,0.00,0.00,
2012,4,"AA",12478,12892,-5.00,0.00,-9.00,0.00,0.00,
2012,4,"AA",12892,12478,-5.00,0.00,-22.00,0.00,0.00,
2012,4,"AA",12892,12478,25.00,25.00,18.00,18.00,0.00,
2012,4,"AA",12892,12478,-2.00,0.00,-16.00,0.00,0.00,
2012,4,"AA",12892,12478,0.00,0.00,-21.00,0.00,0.00,
2012,4,"AA",12892,12478,-3.00,0.00,-22.00,0.00,0.00,
2012,4,"AA",12892,12478,63.00,63.00,40.00,40.00,0.00,
2012,4,"AA",12892,12478,-8.00,0.00,-38.00,0.00,0.00,
2012,4,"AA",12892,12478,2.00,2.00,-29.00,0.00,0.00,
2012,4,"AA",12892,12478,-4.00,0.00,-39.00,0.00,0.00,
